index,inchikey,smiles,homo,lumo,lumo_calib,homo_calib,PCE,PCE_calib
0,XYUYDHFIISREFR-UHFFFAOYNA-N,CN1C(=O)C(=Cc2occc2C(=O)c2ccc(-c3ncc(C4=CC=CC5N=C(F)C(F)=NC45)cn3)s2)C(=O)N(C)C1=O,-6.23622973872584,-3.12717024168274,-3.70869066838977,-6.31033755054534,1.09782089644685,2.96505726807743
1,PHWHUZBDROGCOQ-UHFFFAOYNA-N,CN1C(=O)C(=CC2=CC=C(c3cnc(-c4ccc(C(=O)c5ccoc5)s4)nc3)C3N=C(F)C(F)=NC23)C(=O)N(C)C1=O,-6.33942968555273,-3.70474973062613,-4.25672012665438,-6.46112796876678,2.7602471998414,3.76825678163706
2,OPESLBWKEFWREF-UHFFFAOYNA-N,CN1C(=O)C(=Cc2ncc(-c3ccc(C(=O)c4cocc4C=Cc4ccncn4)s3)nn2)C(=O)N(C)C1=O,-6.4069768901521,-3.58128990384723,-4.09119782728611,-6.46604879252783,1.87009647918068,3.36459930436861
3,ZBIIYLIGWGDVFT-UHFFFAOYNA-N,CN1C(=O)C(=Cc2nccc(C=Cc3cocc3C(=O)c3ccc(-c4cncnn4)s3)n2)C(=O)N(C)C1=O,-6.43856403431061,-3.09593809548042,-3.64624070535236,-6.53412648574937,0.619413700030731,1.55902638968022
4,SHQQQXHEKIZGPP-UHFFFAOYNA-N,CN1C(=O)C(=Cc2sc(C#N)c(-c3ncc(-c4ccsc4C(=O)c4ccoc4)cn3)c2C#N)C(=O)N(C)C1=O,-6.85993995908905,-3.55511808830127,-4.03702497785526,-6.91346541751539,0.53232549246048,1.16947425474826
5,SODYCMUZRIIHGI-UHFFFAOYNA-N,CN1C(=O)C(=Cc2cocc2C(=O)c2sccc2-c2cnc(-c3c(C#N)csc3C#N)nc2)C(=O)N(C)C1=O,-6.94160408654022,-3.04471046282938,-3.46708374419989,-7.01215011166766,0.026886458985789,0.255992976835735
6,BBQBGEOKXIGDHB-UHFFFAOYNA-N,CN1C(=O)C(=Cc2c(F)cc(-c3sc4ccc(C#N)cc4c3C=Cc3ccncn3)c3nsnc23)C(=O)N(C)C1=O,-6.3310948845191,-3.72406380990294,-3.9681403853866,-6.37692700828776,2.89728139570894,3.5394132374003
7,ORUMUUSVWKWIIG-UHFFFAOYNA-N,CN1C(=O)C(=Cc2nccc(C=Cc3c(-c4cc(F)cc5nsnc45)sc4ccc(C#N)cc34)n2)C(=O)N(C)C1=O,-6.34817764950746,-3.21124127941818,-3.51090617002545,-6.45180712135405,0.984731608083295,1.48720121927582
8,MHEOUERUWBMURT-UHFFFAOYNA-N,CN1C(=O)C(=Cc2nc3ccc(-c4cnc(-c5occc5C(=O)c5cccs5)nc4)cc3o2)C(=O)N(C)C1=O,-6.32965896523684,-3.51643368040789,-4.02741423729665,-6.45036723527379,2.01177565394047,3.26805683459981
9,XQKDADGERUFOTL-UHFFFAOYNA-N,CN1C(=O)C(=Cc2ccc(C(=O)c3ccoc3-c3ncc(-c4ccc5ncoc5c4)cn3)s2)C(=O)N(C)C1=O,-6.39582064914705,-3.28521984424891,-3.85405571370828,-6.49329638199465,1.00987100840367,2.43451142691537
