"ChEMBLID","Gold_Score","pIC50","Label"
"CHEMBL553",64.6,10,"Training"
"CHEMBL1080815",50.6,5.6,"Training"
"CHEMBL116308",46.5,6.5,"Training"
"CHEMBL117697",45.3,6.1,"Test"
"CHEMBL119033",52.7,6.9,"Training"
"CHEMBL1277620",51.9,5.2,"Training"
"CHEMBL136492",41.9,5.1,"Training"
"CHEMBL153170",52.2,7.5,"Training"
"CHEMBL155100",54.4,6.6,"Training"
"CHEMBL1688539",49.4,7.5,"Training"
"CHEMBL172652",53.1,8.4,"Test"
"CHEMBL173498",56.4,8.8,"Test"
"CHEMBL174426",58.2,10.6,"Training"
"CHEMBL176582",54.7,11,"Training"
"CHEMBL177053",54.6,7.4,"Test"
"CHEMBL179451",53.3,7.6,"Training"
"CHEMBL181617",56.8,8,"Test"
"CHEMBL1928712",63.8,5.5,"Training"
"CHEMBL2018762",57.7,5.3,"Training"
"CHEMBL208594",49.5,8,"Training"
"CHEMBL209343",50.2,8.4,"Test"
"CHEMBL2333985",55.5,5.3,"Training"
"CHEMBL2333986",57.7,5,"Training"
"CHEMBL2334001",55.9,7.2,"Training"
"CHEMBL249509",51.5,6.9,"Test"
"CHEMBL289787",56,6,"Training"
"CHEMBL289959",43.6,6.5,"Training"
"CHEMBL293090",61.3,8.1,"Training"
"CHEMBL304929",57.6,7.5,"Training"
"CHEMBL3098319",53.4,4.4,"Test"
"CHEMBL3098322",48.6,5.4,"Test"
"CHEMBL317925",56.4,9.2,"Training"
"CHEMBL3218424",53.2,6.2,"Training"
"CHEMBL327307",59.2,10.1,"Training"
"CHEMBL328295",42.9,5.3,"Training"
"CHEMBL328955",49.8,9.6,"Training"
"CHEMBL329672",47.4,7.6,"Training"
"CHEMBL330224",43.7,7,"Training"
"CHEMBL333082",50.1,7,"Test"
"CHEMBL333418",48.2,6.4,"Training"
"CHEMBL336113",48.6,6,"Training"
"CHEMBL366580",51,9.5,"Training"
"CHEMBL377277",59.1,5.1,"Test"
"CHEMBL379017",56.8,5,"Training"
"CHEMBL420624",51.5,10,"Training"
"CHEMBL426580",52.4,9.5,"Training"
"CHEMBL433205",48.5,8.5,"Training"
"CHEMBL447230",54.8,6.8,"Training"
"CHEMBL539807",56.4,4.5,"Training"
"CHEMBL542484",49.2,7.3,"Test"
"CHEMBL543195",48.4,5.5,"Training"
"CHEMBL543669",52,5.4,"Training"
"CHEMBL544833",57.4,6.5,"Test"
"CHEMBL545538",53.4,5.4,"Training"
"CHEMBL553523",55.2,4.9,"Training"
"CHEMBL553908",55.2,7,"Test"
"CHEMBL554053",49.7,5.3,"Training"
"CHEMBL554566",54.5,5.2,"Training"
"CHEMBL555201",52.5,7,"Training"
"CHEMBL555321",48.2,7.3,"Training"
"CHEMBL63469",52.9,8.2,"Training"
"CHEMBL65250",55.3,8.4,"Training"
"CHEMBL90013",55,8,"Training"
"CHEMBL91914",44.8,4.9,"Training"
"CHEMBL91980",53.1,9.5,"Training"
"CHEMBL92174",57.6,6.9,"Training"
"CHEMBL92398",46.6,6.9,"Training"
"CHEMBL92709",59.8,7,"Training"
"CHEMBL92825",52.1,7.1,"Test"
"CHEMBL93032",50.5,9.8,"Test"
"CHEMBL93051",52.4,7.8,"Training"
"CHEMBL93295",55.4,6.3,"Test"
"CHEMBL93302",52.3,8.3,"Training"
"CHEMBL93635",51.7,6.1,"Test"
"CHEMBL93966",43.9,8.7,"Test"
"CHEMBL94431",55,8.4,"Training"
"CHEMBL96065",59.2,9.1,"Test"
"CHEMBL96489",60.8,6.8,"Training"
"CHEMBL96627",50.4,5.9,"Training"
