Feature,Method,RMSE,R
IF,Ridge,1.298323608041237,0.350357542587291
IF,DT,1.9589857069412224,0.001959494746598199
IF,RF,1.6268058910027086,-0.06046618801252969
IF,XGB,1.9319069913656408,-0.029782759459882777
IF,SVM,1.5527176186206504,-0.03038185635512538
IF,ANN,2.1164518434041324,0.34364202393316456
IF,DNN,5.638074671935487,-0.16851815896081213
SFP,Ridge,1.298323608041237,0.350357542587291
SFP,DT,1.9589857069412224,0.001959494746598199
SFP,RF,1.6240981843298752,-0.05940591585451861
SFP,XGB,1.9319069913656408,-0.029782759459882777
SFP,SVM,1.5654185420226525,-0.025103517602573962
SFP,ANN,2.132811070512516,0.3365586122282791
SFP,DNN,1.7072620780207095,0.17471956952514833
BINANA,Ridge,1.6020621074729804,0.3019258918513862
BINANA,DT,1.9467922333931786,0.07996366784361718
BINANA,RF,1.2974987306352177,0.36719134409482784
BINANA,XGB,1.6033480315580346,0.22692897077450347
BINANA,SVM,1.3054140155171607,0.3808405523737781
BINANA,ANN,1.8880612863100155,0.02139396162599841
BINANA,DNN,6.184255284070854,-0.06886633171715255
RFSCORE V1,Ridge,1.2600780953256019,0.43730654015246095
RFSCORE V1,DT,2.2728836309850973,-0.28650958671095955
RFSCORE V1,RF,1.2910173128196216,0.370456414215145
RFSCORE V1,XGB,1.7899268149040768,0.06070887991050426
RFSCORE V1,SVM,1.3323140315468551,0.34804455567432924
RFSCORE V1,ANN,3.1930255611167393,-0.26269528538719056
RFSCORE V1,DNN,5.98851929823929,-0.21339374856674453
RFSCORE V2,Ridge,1.5726064955768915,0.24918782302485504
RFSCORE V2,DT,1.9461500456028562,0.37387256347463227
RFSCORE V2,RF,1.282733506228007,0.4190784138236039
RFSCORE V2,XGB,1.3520114132652437,0.40979742759495363
RFSCORE V2,SVM,1.3315127468451744,0.33430217455410666
RFSCORE V2,ANN,2.3287448068308243,-0.161884504524124
RFSCORE V2,DNN,3.2441871341156423,0.42568876387102866
RFSCORE V3,Ridge,1.2060470025116696,0.5266533000362914
RFSCORE V3,DT,2.05085348087083,0.1672749170379791
RFSCORE V3,RF,1.2500551419837422,0.43251972233057007
RFSCORE V3,XGB,1.7227352993780787,0.17974120265158516
RFSCORE V3,SVM,1.3209584192449646,0.3861206386895009
RFSCORE V3,ANN,2.842713516625907,-0.2142280377512562
RFSCORE V3,DNN,6.039810746250945,-0.490723600033261
PLEC,Ridge,1.2060470025116696,0.5266533000362914
PLEC,DT,2.05085348087083,0.1672749170379791
PLEC,RF,1.2500551419837422,0.43251972233057007
PLEC,XGB,1.7227352993780787,0.17974120265158516
PLEC,SVM,1.3209584192449646,0.3861206386895009
PLEC,ANN,2.842713516625907,-0.2142280377512562
PLEC,DNN,5.437724467030309,-0.43323105517817456
